Legendary Hunter; imageUrl; Unlock Cost; Description
The Night Acolyte; TheNightAcolyte.jpg; 300; Nadine Orville is a member of the doomsday cult, Night of the Hunter, and founder Isaac Powell's right-hand fighter. An Orphan with nothing to lose, she's a brute in a fight, made all the more frightening by the occult symbols drawn on her clothing in the blood of her victims.
Redshirt; Redshirt.jpg; 700; After having drunk too much whiskey one night, Jonathan Redshirt accepted a bet from his companions: to enter the bayou with a target on his back. If he made it out alive, the bet went, he'd be given the deeds to some land out west. Daredevil or fool? Only his tombstone will tell.
Carcass Gunrunner; CarcassGunrunner.jpg; 500; A butcher, clandestine arms dealer, and hobby apothecarist, Jason Trevors is a brutal Hunter, and known for being coldly logical and just unhinged enough that his opponents never know what to expect. A vital asset to the Hunter cause, Trevors could import any firearm from the world over without import tax, provided it fit into a carcass.
The Black Coat; BlackCoat.jpg; 500; William Durant is a Hunter, a scoundrel, and a murderer with a complicated past. Loyal solely to himself, and lacking any shred of honor, when his friends meet, his moniker is only spat out alongside promises of vengeance.
Sheriff Hardin; SheriffHarden.jpg; 500; During the early days of the infection, Sheriff Wayne Hardin was instrumental in halting the rapid spread of the infection. However, the inmates he recruited to be Hunters proved unreliable, and as events spiraled out of control, he found himself putting many of them back under arrest.
The Reverend; TheReverend.jpg; 700; As a young man, Reverend Ishim Gird came to the bayou to save the souls of the innocents. As the infection took hold, he witnessed his congregation tear each other apart in Healing-Waters Church. Barely escaping with his life, he vowed to rid the swamp of it's denizens.
The Night Seer; TheNightSeer.jpg; 300; Originally initiated into the Hunt by a small group of militiamen, Isaac Powell was changed by a vision of the impending end of the world and Second Coming. He founded Night of the Hunter, a Blood Cult whose members believe the blood of the creatures they hunt is holy, and adorn themselves with it in the believe that it will save them from death in this world, and buy themselves redemption in the next.
The Bone Doctor; TheBoneDoctor.jpg; DLC; Born in Senegal and brought to New Orleans as a slave, Doctor John was eventually freed and rose to prominence in the New Orleans Voodoo community, founding a chapter of Hunters with his most loyal followers. His ability to heal led to suspicions that he had caused the very plague he fought, though none who spoke against him survived for long.
Weird Sister; WeirdSister.jpg; DLC; Inspired by the healing powers of Voodoo King Doctor John, Cora Beukes became a Voodoo practitioner and was initiated into John's inner circle of devout Hunters. She is also closely connected to Marie Laveau, though the exact nature of the relationship is shrouded in mystery.
Llorona's Heir; Llorona.jpg; DLC; Much like the legend whose name she uses, Llorona earned her fearsome reputation by drowning her victims and haunting her enemies. Like a shade, she is fast and subtle, with both gun and knife.
The Phantom; ThePhantom.jpg; DLC; Gus Leroux: A former lawyer with a penchant for violence, this theatrical Hunter covers his scarred visage with a mask - not because he is ashamed of the injuries beneath, but because it terrifies his opponents.
Mountain Man; TheMountainMan.jpg; 700; Thomas Bridge was one of many Mountain Men to open up the American frontier. He turned his back on civilization after escaping a burning mill sieged by five hundred insurrectionists. Since, he can only sleep under a night sky and counts trapping, scouting and bounty hunting as his trades. An association with an unholy trinity almost ended his hunting career, although if anyone was to survive their company, it was Bridge.
Marshall Brewer; MarshallBrewer.jpg; 500; Phoebe Brewer, the first Louisianan woman to become a US Marshall, faced a terrible choice when she became a Hunter: to renounce a lifetime’s work. But, there was only one way into the AHA's inner circle, and only one way to fight the evil lurking there.It lost her an eye, her sobriety, and her public image, but her unknown legacy of fighting evil at its strongest was a price worth paying.
The Rat; TheRat.jpg; DLC; There are two kinds of people in the world, those living on the right side of the law, and those living on the wrong. Tona Ramirez was the second kind from birth. When she buried her father in an unmarked grave on the border, she took her inheritance: his nickname and a story of a man robbed of fortune. The Rat seeks that fortune now, and that search is what brought her to Louisiana.
The Researcher; TheResearcher.jpg; DLC; Harold Black's Journal, a collection of anatomical sketches, scientific observations and psychological evaluations, constitute, most of what the AHA know about their enemy. Black received little success until later in life, when a chance assignment sent it spiraling down a different path. His hodgepodge education, acquired on many walks of life, gave him the unique ability to see connections no one else could, and see reason where others only saw madness.
